	locale	id_specialization	name	description	description_after	medical_dictionary	tokens
2724	en-US	599	Liver Biopsy 			"<div>&nbsp;</div>

<div>A liver biopsy is a minor operation in which a sample of liver tissue is removed in order to analyze it. Thus, to diagnose exactly what state is this body and detect liver diseases such as cancer, infections, cirrhosis or hepatitis, provided that the blood tests, X-rays and ultrasound have not been able to determine the cause of incorrect liver function. There are several techniques for performing a liver biopsy but the most common are: percutaneous biopsy, which requires only local anesthesia and involves puncturing the abdominal wall with a needle that has a wide light and allows a sample of liver tissue; transjugular biopsy, recommended for patients at high risk of bleeding, based on the introduction of a needle in the jugular vein and reaching the liver to take a sample; puncture-FNA, useful for analyzing diffuse liver disease; laparoscopic biopsy, through an incision in the abdominal wall, to visualize the liver to take the sample; among other techniques.</div>
"	['A', 'liver', 'biopsi', 'minor', 'oper', 'sampl', 'liver', 'tissu', 'remov', 'order', 'analyz', 'thu', 'diagnos', 'exactli', 'state', 'thi', 'bodi', 'detect', 'liver', 'diseas', 'cancer', 'infect', 'cirrhosi', 'hepat', 'provid', 'blood', 'test', 'ultrasound', 'abl', 'determin', 'caus', 'incorrect', 'liver', 'function', 'sever', 'techniqu', 'perform', 'liver', 'biopsi', 'common', 'percutan', 'biopsi', 'requir', 'onli', 'local', 'anesthesia', 'involv', 'punctur', 'abdomin', 'wall', 'needl', 'ha', 'wide', 'light', 'allow', 'sampl', 'liver', 'tissu', 'transjugular', 'biopsi', 'recommend', 'patient', 'high', 'risk', 'bleed', 'base', 'introduct', 'needl', 'jugular', 'vein', 'reach', 'liver', 'take', 'sampl', 'use', 'analyz', 'diffus', 'liver', 'diseas', 'laparoscop', 'biopsi', 'incis', 'abdomin', 'wall', 'visual', 'liver', 'take', 'sampl', 'among', 'techniqu']
2730	en-US	600	Viral Hepatitis 			<p></p><p> Hepatitis is an inflammatory disease that affects the liver and, consequently, causes it to malfunction. Hepatitis can be caused by immune cells in the body attacking the liver, virus infections, including six designated types are known: A, B, C, D, E and G; Liver damage from excess alcohol or toxic and, finally, because of overdose of drugs such as paracetamol. Evolution and complications of the disease are different in each case. The main symptoms of hepatitis are fatigue, pizazón, dark urine and clay-colored stools or pale, loss of appetite, nausea and vomiting, high fever and headaches, sore throat and cough. This is followed by a diffuse pain in the liver area and a color change to yellow skin. </p>	['hepat', 'inflammatori', 'diseas', 'affect', 'liver', 'consequ', 'caus', 'malfunct', 'hepat', 'caus', 'immun', 'cell', 'bodi', 'attack', 'liver', 'viru', 'infect', 'includ', 'six', 'design', 'type', 'known', 'A', 'B', 'C', 'D', 'E', 'G', 'liver', 'damag', 'excess', 'alcohol', 'toxic', 'final', 'becaus', 'overdos', 'drug', 'paracetamol', 'evolut', 'complic', 'diseas', 'differ', 'case', 'main', 'symptom', 'hepat', 'fatigu', 'pizazón', 'dark', 'urin', 'stool', 'pale', 'loss', 'appetit', 'nausea', 'vomit', 'high', 'fever', 'headach', 'sore', 'throat', 'cough', 'thi', 'follow', 'diffus', 'pain', 'liver', 'area', 'color', 'chang', 'yellow', 'skin']
2737	en-US	602	Irritable Bowel 			"<div>&nbsp;</div>

<div>Irritable bowel or irritable bowel syndrome, also known as irritable bowel syndrome is a functional disorder of the large intestine. It is characterized by abnormal movements in the muscles of the intestine, which causes discomfort and abnormal functioning, as well as constipation and diarrhea alternately. With regard to their cause, often associated with stress problems, although there is evidence that these are not the cause, but only increase their impact. This condition is often confused with inflammatory bowel disease, irritable bowel unlike, is characterized by an abnormal structure of the colon. Its diagnosis is necessary to discard other diseases based on their symptoms and although there is no cure, being a chronic condition, it is recommended to follow a series of recommendations: reduce stress, avoid foods that contribute to their effects such as caffeine, tea, fried fats, alcohol and soft drinks, among others.</div>
"	['irrit', 'bowel', 'irrit', 'bowel', 'syndrom', 'also', 'known', 'irrit', 'bowel', 'syndrom', 'function', 'disord', 'larg', 'intestin', 'It', 'character', 'abnorm', 'movement', 'muscl', 'intestin', 'caus', 'discomfort', 'abnorm', 'function', 'well', 'constip', 'diarrhea', 'altern', 'regard', 'caus', 'often', 'associ', 'stress', 'problem', 'although', 'evid', 'caus', 'onli', 'increas', 'impact', 'thi', 'condit', 'often', 'confus', 'inflammatori', 'bowel', 'diseas', 'irrit', 'bowel', 'unlik', 'character', 'abnorm', 'structur', 'colon', 'diagnosi', 'necessari', 'discard', 'diseas', 'base', 'symptom', 'although', 'cure', 'chronic', 'condit', 'recommend', 'follow', 'seri', 'recommend', 'reduc', 'stress', 'avoid', 'food', 'contribut', 'effect', 'caffein', 'tea', 'fri', 'fat', 'alcohol', 'soft', 'drink', 'among']
2742	en-US	603	Anal Fissure 			<p> An anal fissure is a tear in the outer skin of the anus, which causes severe pain in the anus during and after defecation. The most common causes of anorectal fissure are constipation and diarrhea, but may also occur due to infections such as tuberculosis and syphilis. His diagnosis is performed by applying an anal inspection, if a lot of pain, a local anesthetic. More than half of cases of rectal fissure heal without treatment, simply acquiring healthy habits such as consumption of fiber. In cases where the lesion does not heal by itself, it is used to surgery, performed through a tiny cut in the anal sphincter to relax and allow further processing of the fissure. </p>	['An', 'anal', 'fissur', 'tear', 'outer', 'skin', 'anu', 'caus', 'sever', 'pain', 'anu', 'dure', 'defec', 'common', 'caus', 'anorect', 'fissur', 'constip', 'diarrhea', 'may', 'also', 'occur', 'due', 'infect', 'tuberculosi', 'syphili', 'hi', 'diagnosi', 'perform', 'appli', 'anal', 'inspect', 'lot', 'pain', 'local', 'anesthet', 'half', 'case', 'rectal', 'fissur', 'heal', 'without', 'treatment', 'simpli', 'acquir', 'healthi', 'habit', 'consumpt', 'fiber', 'In', 'case', 'lesion', 'doe', 'heal', 'use', 'surgeri', 'perform', 'tini', 'cut', 'anal', 'sphincter', 'relax', 'allow', 'process', 'fissur']
2746	en-US	604	Gastric Ulcer 			<div></div><div> Gastric ulcer is a sore or erosion that occurs in the stomach or upper duodenum, in this case as a peptic ulcer. This is a very common gastrointestinal ailment and whose size usually varies between 0.5 and 1.5 centimeters in diameter. The causes stomach ulcers are multiple, being intimately related to stress and health status of each patient. As for symptoms, gastric ulcer is characterized by an acute stomach pain, changes in bowel habits, nausea and vomiting. Your treatment begins mitigate their symptoms through gastric protectors and antacids and, in the case in question of a bleeding ulcer, it is necessary to stop the bleeding by endoscopy. Also, in the most serious cases it will be resorted to surgery, either by removing part of the stomach as intervening in the vagus nerve, responsible for monitoring the production of gastric acid in the body. </div>	['gastric', 'ulcer', 'sore', 'eros', 'occur', 'stomach', 'upper', 'duodenum', 'thi', 'case', 'peptic', 'ulcer', 'thi', 'veri', 'common', 'gastrointestin', 'ailment', 'whose', 'size', 'usual', 'vari', 'centimet', 'diamet', 'caus', 'stomach', 'ulcer', 'multipl', 'intim', 'relat', 'stress', 'health', 'statu', 'patient', 'As', 'symptom', 'gastric', 'ulcer', 'character', 'acut', 'stomach', 'pain', 'chang', 'bowel', 'habit', 'nausea', 'vomit', 'treatment', 'begin', 'mitig', 'symptom', 'gastric', 'protector', 'antacid', 'case', 'question', 'bleed', 'ulcer', 'necessari', 'stop', 'bleed', 'endoscopi', 'also', 'seriou', 'case', 'resort', 'surgeri', 'either', 'remov', 'part', 'stomach', 'interven', 'vagu', 'nerv', 'respons', 'monitor', 'product', 'gastric', 'acid', 'bodi']
2751	en-US	605	Inflammation of the esophagus 			<p> Esophagitis is any swelling, redness or swelling of the esophagus, the tube that connects the mouth to the stomach. This condition occurs as a result of GERD, acid-containing fluid, caused by high consumption of alcohol, snuff, by surgery or radiation chest, as in the case of treatment of lung cancer; taking certain medicines out without much water or vomiting. For infection of the esophagus it can be produced by fungi, yeasts, such as Candida, or viruses such as herpes or cytomegalovirus. When an infection or irritation occurs, the esophagus becomes inflamed, sometimes causing an ulcer. The main symptoms are cough may include the ara difficulty swallowing, painful swallowing, heartburn or acid reflux, hoarseness or sore throat. </p>	['esophag', 'ani', 'swell', 'red', 'swell', 'esophagu', 'tube', 'connect', 'mouth', 'stomach', 'thi', 'condit', 'occur', 'result', 'gerd', 'fluid', 'caus', 'high', 'consumpt', 'alcohol', 'snuff', 'surgeri', 'radiat', 'chest', 'case', 'treatment', 'lung', 'cancer', 'take', 'certain', 'medicin', 'without', 'much', 'water', 'vomit', 'infect', 'esophagu', 'produc', 'fungi', 'yeast', 'candida', 'virus', 'herp', 'cytomegaloviru', 'infect', 'irrit', 'occur', 'esophagu', 'becom', 'inflam', 'sometim', 'caus', 'ulcer', 'main', 'symptom', 'cough', 'may', 'includ', 'ara', 'difficulti', 'swallow', 'pain', 'swallow', 'heartburn', 'acid', 'reflux', 'hoars', 'sore', 'throat']
2755	en-US	606	Chronic diarrhea 			"<p>&nbsp;</p>

<p>Diarrhea is characterized by a greater fluidity and volume of regular bowel movements, which can sometimes contain blood, mucus, pus and undigested food. It is considered that chronic diarrhea that lasts more than four weeks, and, moreover, can be accompanied by nausea, vomiting, fever, abdominal pain and weight loss. Its causes are multiple, being the abuse of laxatives, intestinal tumors, food allergies, inflammatory bowel diseases and intestinal motility disorders the most common. With respect to the treatment of diarrhea, it is essential to know the origin of it before opting for one or the other. It is also important to prevent dehydration, so that consumption of large amounts of water is recommended and, if necessary, serum. In addition, for diarrhea, treatment should include an astringent diet with easily digestible foods such as rice, broth, boiled carrots or grated or boiled apple.</p>
"	['diarrhea', 'character', 'greater', 'fluiditi', 'volum', 'regular', 'bowel', 'movement', 'sometim', 'contain', 'blood', 'mucu', 'pu', 'undigest', 'food', 'It', 'consid', 'chronic', 'diarrhea', 'last', 'four', 'week', 'moreov', 'accompani', 'nausea', 'vomit', 'fever', 'abdomin', 'pain', 'weight', 'loss', 'caus', 'multipl', 'abus', 'lax', 'intestin', 'tumor', 'food', 'allergi', 'inflammatori', 'bowel', 'diseas', 'intestin', 'motil', 'disord', 'common', 'respect', 'treatment', 'diarrhea', 'essenti', 'know', 'origin', 'befor', 'opt', 'one', 'It', 'also', 'import', 'prevent', 'dehydr', 'consumpt', 'larg', 'amount', 'water', 'recommend', 'necessari', 'serum', 'In', 'addit', 'diarrhea', 'treatment', 'includ', 'astring', 'diet', 'easili', 'digest', 'food', 'rice', 'broth', 'boil', 'carrot', 'grate', 'boil', 'appl']
2759	en-US	607	Celiac 			"<p>Celiac disease is a disease characterized by permanent intolerance to gluten, a glycoprotein present in wheat, barley, rye and oats. It occurs in genetically predisposed individuals suffering from atrophy to the villi of the small intestine, making it difficult to absorb nutrients from some foods. Depending on the degree of intolerance, some other symptoms occur and it is possible that none of them is present. Still, the most common manifestations of this disease are gastrointestinal problems, iron deficiency and colitis. In cases where no apparent signs occur but is diagnosed through routine screening once to avoid eating gluten, the patient will experience a great improvement both physical and mental.</p>
"	['celiac', 'diseas', 'diseas', 'character', 'perman', 'intoler', 'gluten', 'glycoprotein', 'present', 'wheat', 'barley', 'rye', 'oat', 'It', 'occur', 'genet', 'predispos', 'individu', 'suffer', 'atrophi', 'villi', 'small', 'intestin', 'make', 'difficult', 'absorb', 'nutrient', 'food', 'depend', 'degre', 'intoler', 'symptom', 'occur', 'possibl', 'none', 'present', 'still', 'common', 'manifest', 'thi', 'diseas', 'gastrointestin', 'problem', 'iron', 'defici', 'coliti', 'In', 'case', 'appar', 'sign', 'occur', 'diagnos', 'routin', 'screen', 'onc', 'avoid', 'eat', 'gluten', 'patient', 'experi', 'great', 'improv', 'physic', 'mental']
2762	en-US	730	Gastric Bypass 			"<p>The gastric bypass or gastric bypass surgery is a technique of bariatric surgery is to reduce and restrict the absorption of food. These techniques are directed to the treatment of morbid obesity and is a mixed procedure that combines restrictive malabsorptive phases. The procedure is to reduce and restrict food absorption creating a small reservoir at the expense of lower stomach Curls separately from the rest of the stomach to prevent a deviation fistula more effect to the small intestine. Thus it is achieved early satiety. The technique also acts by hormonal effect in reducing Ghelina decreased and gastric inhibitory peptide. The process is done by open surgery (laparotomy) and endoscopically.</p>
"	['gastric', 'bypass', 'gastric', 'bypass', 'surgeri', 'techniqu', 'bariatr', 'surgeri', 'reduc', 'restrict', 'absorpt', 'food', 'techniqu', 'direct', 'treatment', 'morbid', 'obes', 'mix', 'procedur', 'combin', 'restrict', 'malabsorpt', 'phase', 'procedur', 'reduc', 'restrict', 'food', 'absorpt', 'creat', 'small', 'reservoir', 'expens', 'lower', 'stomach', 'curl', 'separ', 'rest', 'stomach', 'prevent', 'deviat', 'fistula', 'effect', 'small', 'intestin', 'thu', 'achiev', 'earli', 'satieti', 'techniqu', 'also', 'act', 'hormon', 'effect', 'reduc', 'ghelina', 'decreas', 'gastric', 'inhibitori', 'peptid', 'process', 'done', 'open', 'surgeri', 'laparotomi', 'endoscop']
2763	en-US	608	Cholelithiasis 			<p> Cholelithiasis, gallstones also known, is the occurrence of gallstones in the gallbladder, digestive organ in charge of accumulating bile, a must to perform digestion substance. A gallstone is a hard deposit whose size can vary considerably, consisting of pure cholesterol, bilirubin and calcium, or bilirubin and calcium. His appearance responds to several factors, including very high levels of cholesterol, obesity, diabetes and some hereditary problems, among others. Also, the symptoms also depend on the size of the stone, ranging from stomach pain, nausea and vomiting up. For treatment, consisting of end these calculations, bile salts orally, or Medicines called chenodeoxycholic acid and ursodeoxycholic acid, which manage to dissolve administered. When the patient has more severe symptoms, we resort to surgery through a laparoscopic cholecystectomy, modern technique with small incisions that allows a very quick recovery. </p>	['cholelithiasi', 'gallston', 'also', 'known', 'occurr', 'gallston', 'gallbladd', 'digest', 'organ', 'charg', 'accumul', 'bile', 'must', 'perform', 'digest', 'substanc', 'A', 'gallston', 'hard', 'deposit', 'whose', 'size', 'vari', 'consider', 'consist', 'pure', 'cholesterol', 'bilirubin', 'calcium', 'bilirubin', 'calcium', 'hi', 'appear', 'respond', 'sever', 'factor', 'includ', 'veri', 'high', 'level', 'cholesterol', 'obes', 'diabet', 'hereditari', 'problem', 'among', 'also', 'symptom', 'also', 'depend', 'size', 'stone', 'rang', 'stomach', 'pain', 'nausea', 'vomit', 'treatment', 'consist', 'end', 'calcul', 'bile', 'salt', 'oral', 'medicin', 'call', 'chenodeoxychol', 'acid', 'ursodeoxychol', 'acid', 'manag', 'dissolv', 'administ', 'patient', 'ha', 'sever', 'symptom', 'resort', 'surgeri', 'laparoscop', 'cholecystectomi', 'modern', 'techniqu', 'small', 'incis', 'allow', 'veri', 'quick', 'recoveri']
2767	en-US	609	Pancreatitis 			<p></p><p> Pancreatitis is a condition of the pancreas (a gland in the stomach that secrete digestive juices in the small intestine) that causes inflammation. acute and chronic pancreatitis: two varieties of this type of pancreatic diseases may occur. The mildest is acute pancreatitis, which is usually caused by gallstones, and causes vomiting, nausea and abdominal pain. It requires hospitalization and administration of antibiotics and painkillers intravenously. On the other hand, chronic pancreatitis, for which there is no cure and whose origin is usually associated with alcohol abuse also causes vomiting, nausea, abdominal pain, and weight loss, and fatty stools. During his initial treatment, as in the case of acute pancreatitis, it requires hospitalization and medication, but when the patient is discharged, must bear a special personalized diet and avoid alcohol and snuff consumption throughout their lives. </p>	['pancreat', 'condit', 'pancrea', 'gland', 'stomach', 'secret', 'digest', 'juic', 'small', 'intestin', 'caus', 'inflamm', 'acut', 'chronic', 'pancreat', 'two', 'varieti', 'thi', 'type', 'pancreat', 'diseas', 'may', 'occur', 'mildest', 'acut', 'pancreat', 'usual', 'caus', 'gallston', 'caus', 'vomit', 'nausea', 'abdomin', 'pain', 'It', 'requir', 'hospit', 'administr', 'antibiot', 'painkil', 'intraven', 'On', 'hand', 'chronic', 'pancreat', 'cure', 'whose', 'origin', 'usual', 'associ', 'alcohol', 'abus', 'also', 'caus', 'vomit', 'nausea', 'abdomin', 'pain', 'weight', 'loss', 'fatti', 'stool', 'dure', 'hi', 'initi', 'treatment', 'case', 'acut', 'pancreat', 'requir', 'hospit', 'medic', 'patient', 'discharg', 'must', 'bear', 'special', 'person', 'diet', 'avoid', 'alcohol', 'snuff', 'consumpt', 'throughout', 'live']
2773	en-US	610	Pancreatic cancer 			<div></div><div> Pancreatic cancer is a disease that causes the formation of malignant cells in the tissues of the body that would produce juices that help digest food and hormones to control the amount of sugar in the blood. It is a very aggressive type of stomach cancer, overtaking at dangerous only colon cancer, lung cancer and breast cancer. Among risk factors include smoking, diabetes, chronic pancreatitis and some hereditary conditions. It is a disease whose early symptoms are quite subtle, so often diagnosed when it is in an advanced stage. Still, the loss of weight and appetite, fatigue, pain in the abdomen and back and jaundice may be warnings of this ailment. Treatment depends on the degree of involvement of the disease and if that affected only the pancreas, removal of malignant cells by surgery is possible, although it is very common to return to play. If the cancer is in an advanced stage, it can resort to chemotherapy or chemoradiation. Finally, if it has also spread to other parts of the body (eg causing stomach cancer or other organs) is well advanced and palliative treatments exist to slow the rate of disease progression. </div>	['pancreat', 'cancer', 'diseas', 'caus', 'format', 'malign', 'cell', 'tissu', 'bodi', 'would', 'produc', 'juic', 'help', 'digest', 'food', 'hormon', 'control', 'amount', 'sugar', 'blood', 'It', 'veri', 'aggress', 'type', 'stomach', 'cancer', 'overtak', 'danger', 'onli', 'colon', 'cancer', 'lung', 'cancer', 'breast', 'cancer', 'among', 'risk', 'factor', 'includ', 'smoke', 'diabet', 'chronic', 'pancreat', 'hereditari', 'condit', 'It', 'diseas', 'whose', 'earli', 'symptom', 'quit', 'subtl', 'often', 'diagnos', 'advanc', 'stage', 'still', 'loss', 'weight', 'appetit', 'fatigu', 'pain', 'abdomen', 'back', 'jaundic', 'may', 'warn', 'thi', 'ailment', 'treatment', 'depend', 'degre', 'involv', 'diseas', 'affect', 'onli', 'pancrea', 'remov', 'malign', 'cell', 'surgeri', 'possibl', 'although', 'veri', 'common', 'return', 'play', 'If', 'cancer', 'advanc', 'stage', 'resort', 'chemotherapi', 'chemoradi', 'final', 'ha', 'also', 'spread', 'part', 'bodi', 'eg', 'caus', 'stomach', 'cancer', 'organ', 'well', 'advanc', 'palli', 'treatment', 'exist', 'slow', 'rate', 'diseas', 'progress']
2777	en-US	611	Helicobacter pylori 			<p> Helicobacter pylori is a genus of bacteria that affects the human stomach. It is growing from the mucous layer thereof, secreting urease, an enzyme that converts urea (an important chemical compound metabolism) ammonia. Consequently, stomach acidity is neutralized and prone to pylori bacteria proliferation environment is created. It is transmitted through direct contact with an infected person and is characterized by severe abdominal pain, nausea, loss of appetite and weight or gases. Helicobacter pylori eradication as soon as your symptoms begin to sense to avoid further complications, such as abdominal infections, peritonitis, bleeding or ulcers is required; also can increase the risk of stomach cancer. Treatment includes antibiotics, to address or prevent infections; antiulcer drugs, to decrease the amount of acid produced in the stomach; and surgery, if the infection is caused ulcers. It is also important to follow, before the Helicobacter pylori, a proper diet, being recommended to increase fiber intake. </p>	['helicobact', 'pylori', 'genu', 'bacteria', 'affect', 'human', 'stomach', 'It', 'grow', 'mucou', 'layer', 'thereof', 'secret', 'ureas', 'enzym', 'convert', 'urea', 'import', 'chemic', 'compound', 'metabol', 'ammonia', 'consequ', 'stomach', 'acid', 'neutral', 'prone', 'pylori', 'bacteria', 'prolifer', 'environ', 'creat', 'It', 'transmit', 'direct', 'contact', 'infect', 'person', 'character', 'sever', 'abdomin', 'pain', 'nausea', 'loss', 'appetit', 'weight', 'gase', 'helicobact', 'pylori', 'erad', 'soon', 'symptom', 'begin', 'sens', 'avoid', 'complic', 'abdomin', 'infect', 'periton', 'bleed', 'ulcer', 'requir', 'also', 'increas', 'risk', 'stomach', 'cancer', 'treatment', 'includ', 'antibiot', 'address', 'prevent', 'infect', 'antiulc', 'drug', 'decreas', 'amount', 'acid', 'produc', 'stomach', 'surgeri', 'infect', 'caus', 'ulcer', 'It', 'also', 'import', 'follow', 'befor', 'helicobact', 'pylori', 'proper', 'diet', 'recommend', 'increas', 'fiber', 'intak']
2781	en-US	612	Endoscopic Capsule 			"<p>The endoscopic capsule is a device the size of a pill that contains a camera. It is used to perform examinations of the digestive system and to treat diseases of the small intestine and rectum. The endoscopic capsule is swallowed and thus runs through the digestive system providing images of the whole journey. Thanks to the endoscopic camera &#39;s built, is a key alternative to record intestinal transit and detect any pathology of the small intestine and the colon with a minimally invasive method. Currently, this technique is applied in some medical centers as an alternative to the traditional endoscopy. However, the performance of exploration with endoscopic capsule has different results depending on the protocol followed for ingestion.</p>
"	['endoscop', 'capsul', 'devic', 'size', 'pill', 'contain', 'camera', 'It', 'use', 'perform', 'examin', 'digest', 'system', 'treat', 'diseas', 'small', 'intestin', 'rectum', 'endoscop', 'capsul', 'swallow', 'thu', 'run', 'digest', 'system', 'provid', 'imag', 'whole', 'journey', 'thank', 'endoscop', 'camera', 'built', 'key', 'altern', 'record', 'intestin', 'transit', 'detect', 'ani', 'patholog', 'small', 'intestin', 'colon', 'minim', 'invas', 'method', 'current', 'thi', 'techniqu', 'appli', 'medic', 'center', 'altern', 'tradit', 'endoscopi', 'howev', 'perform', 'explor', 'endoscop', 'capsul', 'ha', 'differ', 'result', 'depend', 'protocol', 'follow', 'ingest']
2782	en-US	809	Gastroenterology osteopathy 			<p> Based alternative medicine massage and joint manipulation applied to pathologies of the digestive system </p>	['base', 'altern', 'medicin', 'massag', 'joint', 'manipul', 'appli', 'patholog', 'digest', 'system']
2787	en-US	613	Facelift 			"<p>&nbsp;</p>

<p>Facial rejuvenation is the use of various techniques to correct the signs of aging on the skin. Aging is a slow and inevitable process that begins to be felt on the skin of the face after 35 years. As a result there are a series of changes in the skin such as wrinkles, sagging, appearance of pigmented lesions (spots) and vascualres among others that can be corrected and achieve rejuvenation of facial skin. For example, fillers may be treated with wrinkles, peeling and dermabrasion, laser or botulinum toxin. For sagging can use radiofrequency techniques. Peels, cryotherapy or pulsed light can erase pigmented lesions. And in the case of vascular lesions (vascular and couperosis spiders), one must resort to the laser.</p>
"	['facial', 'rejuven', 'use', 'variou', 'techniqu', 'correct', 'sign', 'age', 'skin', 'age', 'slow', 'inevit', 'process', 'begin', 'felt', 'skin', 'face', 'year', 'As', 'result', 'seri', 'chang', 'skin', 'wrinkl', 'sag', 'appear', 'pigment', 'lesion', 'spot', 'vascualr', 'among', 'correct', 'achiev', 'rejuven', 'facial', 'skin', 'exampl', 'filler', 'may', 'treat', 'wrinkl', 'peel', 'dermabras', 'laser', 'botulinum', 'toxin', 'sag', 'use', 'radiofrequ', 'techniqu', 'peel', 'cryotherapi', 'puls', 'light', 'eras', 'pigment', 'lesion', 'case', 'vascular', 'lesion', 'vascular', 'couperosi', 'spider', 'one', 'must', 'resort', 'laser']
2791	en-US	614	Sagging facial 			"<p style=""box-sizing: border-box; margin: 0px 0px 30px; line-height: 1.8; color: rgb(85, 85, 85); font-family: Lato, sans-serif; font-size: 14px;"">Facial sagging is the loss of elasticity and youthful skin because of the passage of time. The skin becomes thinner and thinning of the same is observed, losing the smooth aspect and generating a sagging of the different parts of the skin of the face.</p>
"	['facial', 'sag', 'loss', 'elast', 'youth', 'skin', 'becaus', 'passag', 'time', 'skin', 'becom', 'thinner', 'thin', 'observ', 'lose', 'smooth', 'aspect', 'gener', 'sag', 'differ', 'part', 'skin', 'face']
2794	en-US	626	Myocarditis 			"<p>Myocarditis is inflammation of the heart muscle. It is a rare disease and can be caused by several factors: infections, allergic reactions, diseases with an immunological basis, etc. In some patients, there are no symptoms, but in most the disease is manifested by chest pain, fatigue, fever, joint pain, or shortness of breath, among other symptoms. For diagnosis, it is necessary to perform a series of tests (general analytic, an ultrasound of the heart and an electrocardiogram), and treatment aims to eradicate what caused the inflammation of the heart muscle by prescribing antibiotics or anti-inflammatory and recommendation salt diet or decreased physical activity. In many cases, recovery with proper treatment may involve the complete cure of the patient, preventing further complications such as heart failure.</p>
"	['myocard', 'inflamm', 'heart', 'muscl', 'It', 'rare', 'diseas', 'caus', 'sever', 'factor', 'infect', 'allerg', 'reaction', 'diseas', 'immunolog', 'basi', 'etc', 'In', 'patient', 'symptom', 'diseas', 'manifest', 'chest', 'pain', 'fatigu', 'fever', 'joint', 'pain', 'short', 'breath', 'among', 'symptom', 'diagnosi', 'necessari', 'perform', 'seri', 'test', 'gener', 'analyt', 'ultrasound', 'heart', 'electrocardiogram', 'treatment', 'aim', 'erad', 'caus', 'inflamm', 'heart', 'muscl', 'prescrib', 'antibiot', 'recommend', 'salt', 'diet', 'decreas', 'physic', 'activ', 'In', 'mani', 'case', 'recoveri', 'proper', 'treatment', 'may', 'involv', 'complet', 'cure', 'patient', 'prevent', 'complic', 'heart', 'failur']
2797	en-US	615	Aneurysm 			"<p><span style=""line-height:20.7999992370605px""><strong>Aneurysms</strong></span> <span style=""line-height:1.6"">are dilatations of the arteries due to a fault in the vessel wall which triggers an increase in diameter and carries the risk of rupture and massive internal bleeding. Most cerebral aneurysms are congenital, but can also be traumatic, tumor cause, arteriosclerosis, by common infectious cause or drug consumption. Depending on the shape of the aneurysm are divided into secular, fusiform, and use as side; They may also be classified by size. All aneurysms may be complicated by rupture of the vessel and cause bleeding in the brain, causing a stroke acidente, which can cause irreversible nerve damage. Aneurysms are asymptomatic, symptoms only when they break, causing intense headaches, nausea, vomiting, stiff neck, seizures or sudden loss of consciousness. For diagnosis, several tests such as angiography or CT are used, and the treatment depends on the size of the aneurysm and associated risk factors. There are several alternatives for both conservative and surgical treatment, which must evaluate a neurosurgeon.</span></p>
"	['aneurysm', 'dilat', 'arteri', 'due', 'fault', 'vessel', 'wall', 'trigger', 'increas', 'diamet', 'carri', 'risk', 'ruptur', 'massiv', 'intern', 'bleed', 'cerebr', 'aneurysm', 'congenit', 'also', 'traumat', 'tumor', 'caus', 'arteriosclerosi', 'common', 'infecti', 'caus', 'drug', 'consumpt', 'depend', 'shape', 'aneurysm', 'divid', 'secular', 'fusiform', 'use', 'side', 'may', 'also', 'classifi', 'size', 'aneurysm', 'may', 'complic', 'ruptur', 'vessel', 'caus', 'bleed', 'brain', 'caus', 'stroke', 'acident', 'caus', 'irrevers', 'nerv', 'damag', 'aneurysm', 'asymptomat', 'symptom', 'onli', 'break', 'caus', 'intens', 'headach', 'nausea', 'vomit', 'stiff', 'neck', 'seizur', 'sudden', 'loss', 'conscious', 'diagnosi', 'sever', 'test', 'angiographi', 'CT', 'use', 'treatment', 'depend', 'size', 'aneurysm', 'associ', 'risk', 'factor', 'sever', 'altern', 'conserv', 'surgic', 'treatment', 'must', 'evalu', 'neurosurgeon']
